"#","Category","Severity","Page / File","Issue","Current State","Suggested Fix"
"1","Sitemap","Critical","/tools/name-ideas","301 redirect URL still listed in sitemap-tools.xml","301 redirects to /tools/username-generator","Remove /tools/name-ideas from sitemap-tools.xml — Googlebot wastes crawl budget on redirected URLs"
"2","Sitemap","Critical","/tools/color-picker","Active page (1157 words) missing from sitemap-tools.xml","Not in any sitemap","Add to sitemap-tools.xml with priority 0.75 and today as lastmod"
"3","Sitemap","Critical","/tools/image-compressor","Active page (1172 words) missing from sitemap-tools.xml","Not in any sitemap","Add to sitemap-tools.xml with priority 0.75"
"4","Sitemap","Critical","/tools/password-generator","Active page (1099 words) missing from sitemap-tools.xml","Not in any sitemap","Add to sitemap-tools.xml with priority 0.75"
"5","Sitemap","Critical","/tools/qr-code-generator","Active page (1307 words) missing from sitemap-tools.xml","Not in any sitemap","Add to sitemap-tools.xml with priority 0.75"
"6","Sitemap","High","/tools/word-counter","Active page (519 words) missing from sitemap-tools.xml","Not in any sitemap","Add to sitemap-tools.xml with priority 0.70"
"7","Sitemap","High","/blog","/blog URL is duplicated in BOTH sitemap-pages.xml (lastmod 2026-05-14) AND sitemap-blog.xml (lastmod 2026-05-26)","Duplicate URL across two sitemaps with conflicting lastmod dates","Remove /blog entry from sitemap-pages.xml — keep it only in sitemap-blog.xml with the most recent date"
"8","Sitemap","High","/pricing","/pricing has noindex meta but is still listed in sitemap-pages.xml (priority 0.55)","Contradiction: sitemap says crawl me; meta says do not index","Remove /pricing from sitemap-pages.xml to eliminate conflicting signals to Googlebot"
"9","Sitemap","Medium","/guides","Active routed page not listed in any sitemap","Not in sitemap-pages.xml or sitemap-tools.xml","Add /guides to sitemap-pages.xml with priority 0.60 and current date"
"10","Sitemap","Medium","/contact","Active routed page not listed in any sitemap","Not in any sitemap","Add /contact to sitemap-pages.xml with priority 0.50"
"11","AdSense","Critical","/tools/ (55 pages)","55 of 60 tool pages have no AdSlot component and earn zero ad revenue","AdSlot only on: color-picker, css-minifier, image-compressor, password-generator, qr-code-generator","Add <AdSlot /> below the tool UI and above the Related Tools section on every active tool page. Start with highest-traffic pages: json-formatter, base64, jwt-decoder, url-encoder, case-converter, character-counter, word-counter"
"12","Thin Content","Critical","/tools/ai-detector","Page has only ~165 words — near-empty for Google","165 words (STUB)","Add sections: How AI Detection Works, What Triggers AI Flags, Use Cases, Limitations, FAQ. Target 800+ words."
"13","Thin Content","Critical","/tools/html-formatter","Page has only ~186 words","186 words (STUB)","Add sections: HTML Formatting Rules, Indentation Standards, Common Formatting Errors, When to Format vs Minify, FAQ"
