ID,Category,Subcategory,Page_Type,URL_or_File,Severity,Issue,Current_Value,Target_Value,Recommendation
T01,SEO,Title Tag,tool,/tools/schema-generator,High,Title too long — will be truncated in SERPs,87 chars,≤60 chars,Shorten to: 'JSON-LD Schema Generator — Free Structured Data Builder'
T02,SEO,Title Tag,tool,/tools/x-account-checker,High,Title too long — will be truncated in SERPs,85 chars,≤60 chars,Shorten to: 'X Account Checker — Bulk Twitter Status & Profile Data'
T03,SEO,Title Tag,static,/chrome-extension,High,Title too long — will be truncated in SERPs,78 chars,≤60 chars,Shorten to: 'Free Temp Email Chrome Extension — OTP Detector'
T04,SEO,Title Tag,tool,/tools/funny-bios,High,Title too long — will be truncated in SERPs,76 chars,≤60 chars,Shorten to: 'Funny Twitter/X Bio Ideas (2026) — 50+ Bios + AI Generator'
T05,SEO,Title Tag,tool,/tools/regex-tester,High,Title too long — will be truncated in SERPs,76 chars,≤60 chars,Shorten to: 'Regex Tester Online — Test Regular Expressions Instantly'
T06,SEO,Title Tag,tool,/tools/ai-detector,High,Title too long — will be truncated in SERPs,74 chars,≤60 chars,Shorten to: 'AI Text Detector & Humanizer — Free AI Content Checker'
T07,SEO,Title Tag,tool,/tools/sitemap-validator,High,Title too long — will be truncated in SERPs,74 chars,≤60 chars,Shorten to: 'XML Sitemap Validator — Free Sitemap Checker & Debugger'
T08,SEO,Title Tag,static,/tools,High,Title too long — will be truncated in SERPs,74 chars,≤60 chars,Shorten to: 'All Free Online Tools — X Toolkit | 44+ Tools'
T09,SEO,Title Tag,tool,/tools/masked-email-generator,Medium,Title too long — may be truncated on mobile,73 chars,≤60 chars,Shorten to: 'Masked Email Generator — Free Email Alias Creator'
T10,SEO,Title Tag,tool,/tools/email-signature-generator,Medium,Title too long — may be truncated on mobile,73 chars,≤60 chars,Shorten to: 'Email Signature Generator — Free HTML Signatures'
T11,SEO,Title Tag,category,/email-tools,Medium,Title too long — may be truncated on mobile,73 chars,≤60 chars,Shorten to: 'Free Email Tools — Temp Mail & Signature Generator'
T12,SEO,Title Tag,category,/text-format-tools,Medium,Title too long — may be truncated on mobile,73 chars,≤60 chars,Shorten to: 'Free Text Formatting Tools — Thread Splitter & More'
T13,SEO,Title Tag,tool,/tools/profile-link-generator,Medium,Title too long — may be truncated on mobile,72 chars,≤60 chars,Shorten to: 'Profile Link Generator — Usernames to X Profile URLs'
T14,SEO,Title Tag,tool,/tools/case-converter,Medium,Title too long — may be truncated on mobile,72 chars,≤60 chars,Shorten to: 'Case Converter — UPPERCASE, lowercase & camelCase'
T15,SEO,Title Tag,tool,/tools/subject-line-generator,Medium,Title too long — may be truncated on mobile,72 chars,≤60 chars,Shorten to: 'Email Subject Line Generator — High Open Rate Templates'
T16,SEO,Title Tag,tool,/tools/sql-formatter,Medium,Title too long — may be truncated on mobile,72 chars,≤60 chars,Shorten to: 'SQL Formatter & Beautifier — Free Query Formatter'
T17,SEO,Title Tag,tool,/tools/character-counter,Medium,Title borderline long,71 chars,≤60 chars,Shorten to: 'Character Counter — Free Online Character & Word Count'
T18,SEO,Title Tag,tool,/tools/tweet-scheduler,Medium,Title borderline long,71 chars,≤60 chars,Shorten to: 'Tweet Scheduler — Free X Content Calendar Planner'
T19,SEO,Title Tag,tool,/tools/bio-generator,Medium,Title borderline long,71 chars,≤60 chars,Shorten to: 'AI Bio Generator for X (Twitter) — Free Bio Creator'
T20,SEO,Title Tag,tool,/tools/tweet-formatter,Medium,Title borderline long,71 chars,≤60 chars,Shorten to: 'Tweet Thread Formatter — Split Text into Threads'
T21,SEO,Title Tag,category,/social-media-tools,Medium,Title borderline long,70 chars,≤60 chars,Shorten to: 'Free Social Media Tools for X — Account Checker'
T22,SEO,Title Tag,blog,/blog/temp-gmail-explained,Medium,Title too long — may be truncated on mobile,72 chars,≤60 chars,Shorten to: 'Temp Gmail Explained — Dot Trick & Plus Trick Guide'
T23,SEO,Title Tag,blog,/blog/url-encoding-guide,Medium,Title borderline long,69 chars,≤60 chars,Shorten to: 'URL Encoding Guide — What Is Percent Encoding (2026)'
T24,SEO,Title Tag,blog,/blog/how-to-use-temp-email-extension,Medium,Title borderline long,68 chars,≤60 chars,Shorten to: 'How to Use a Temp Email Chrome Extension (2026)'
D01,SEO,Meta Description,tool,/tools/masked-email-generator,High,Description critically short — well below optimal CTR range,121 chars,150–160 chars,"Expand: 'Generate random email aliases and Gmail plus-tag variants to protect your real inbox. Prevent spam, avoid data brokers, and keep your primary address private. Free.'"
D02,SEO,Meta Description,tool,/tools/timezone-converter,High,Description critically short — well below optimal CTR range,125 chars,150–160 chars,"Expand: 'Convert times between all global timezones with DST support. Great for scheduling meetings across regions and planning international events. Free world clock tool.'"
D03,SEO,Meta Description,tool,/tools/font-preview,High,Description critically short — well below optimal CTR range,127 chars,150–160 chars,"Expand: 'Preview X (Twitter) bio and tweet text in Unicode bold, italic, cursive and more styles. Copy styled text instantly. Free font previewer — no signup.'"
D04,SEO,Meta Description,tool,/tools/at-formatter,High,Description critically short — well below optimal CTR range,128 chars,150–160 chars,"Expand: 'Bulk add or remove the @ symbol from X (Twitter) username lists instantly. Clean imported follower exports or prepare mention lists in one click. Free.'"
D05,SEO,Meta Description,tool,/tools/og-image-preview,High,Description critically short — well below optimal CTR range,128 chars,150–160 chars,"Expand: 'Preview how your Open Graph image and meta tags appear on Twitter, LinkedIn, Facebook and Slack before publishing. Check thumbnail dimensions. Free tool.'"
D06,SEO,Meta Description,tool,/tools/html-formatter,High,Description too short — low CTR signal,129 chars,150–160 chars,"Expand: 'Beautify or minify HTML code with proper indentation and syntax highlighting. 100% browser-based — your code never leaves your device. Free online tool.'"
