Q#,Section,Check,Finding,Evidence,Pass/Fail
A01,AdSense Setup,Publisher ID in index.html,"AdSense script present: https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-9994285234413878 — loaded in <head> with async attribute and crossorigin=""anonymous""",artifacts/x-checker/index.html line 14,PASS
A02,AdSense Setup,ads.txt file,"Single valid line: google.com, pub-9994285234413878, DIRECT, f08c47fec0942fa0 — correct IAB format with authorized sellers token. Served from /ads.txt at domain root.",artifacts/x-checker/public/ads.txt,PASS
A03,AdSense Setup,AdSense script loads on all pages,"index.html is the SPA shell served for all routes — AdSense <script> in <head> is loaded on every page: homepage / tool pages / blog posts / category pages / about / guides. Not isolated to a test page.",artifacts/x-checker/index.html,PASS
A04,AdSense Setup,Ad slot IDs (data-ad-slot values),"CRITICAL FAIL: All AdSlot components use slot=""top"" and slot=""bottom"" as data-ad-slot values. AdBanner on /tools uses slot=""3333333333"". None of these are valid Google Ad Manager unit IDs (should be 10-digit numeric strings from your AdSense dashboard). Ads will NOT serve — Google rejects non-existent slot IDs silently.",AdSlot.tsx:37 / AdBanner.tsx:37 / tools.tsx:673,FAIL
A05,AdSense Setup,Duplicate AdSlot and AdBanner components,"AdSlot.tsx and AdBanner.tsx are byte-for-byte identical components — same props (slot / format / className), same useEffect push logic, same <ins> render. This is dead code duplication. Consolidate into a single <AdUnit> component.",src/components/AdSlot.tsx vs src/components/AdBanner.tsx,WARN
A06,AdSense Setup,Ad placement coverage — tool pages,"14 of 44 tool pages have AdSlot (top + bottom). 30 tool pages have zero ad slots: at-formatter / ai-detector / bio-generator / css-minifier (has ads) / email-signature-generator / email-validator / font-preview / funny-bios / hashtag-formatter / html-formatter / image-compressor (has ads) / jwt-decoder (has ads) / keyword-density / masked-email-generator / meta-tag-generator / newsletter-template-generator / og-image-preview / page-speed-checker / profile-link-generator / robots-txt-generator / schema-generator / sitemap-validator / spam-score-checker / sql-formatter / subject-line-generator / temp-mail / timezone-converter / tweet-formatter / tweet-scheduler / username-generator / x-account-checker / yaml-json / url-slug-generator / url-encoder (has ads)","Grep of AdSlot/AdBanner in src/pages/tools/",FAIL
A07,AdSense Setup,Ad placement coverage — blog pages,"0 of 16 blog pages have any ad unit. Blog posts are the highest-content pages (800–1300+ words each) and the most AdSense-friendly placement — high content-to-ad ratio. No AdSlot or AdBanner found in any BlogLayout or individual blog page.",Grep of AdSlot/AdBanner in src/pages/blog/,FAIL
A08,AdSense Setup,Ad placement coverage — homepage,Homepage (home.tsx) has no ad unit. First-party homepage traffic typically carries strong CPM. A leaderboard or responsive ad unit after the hero section or between tool category sections would add revenue without disrupting UX.,src/pages/home.tsx — 0 AdSlot/AdBanner matches,WARN
A09,AdSense Setup,Ad placement coverage — category pages,"0 of 6 category landing pages (/social-media-tools / /developer-tools / /seo-tools / /email-tools / /text-format-tools / /ai-writing-tools) have any ad slot.",src/pages/categories/*.tsx — 0 AdSlot/AdBanner matches,WARN
A10,AdSense Setup,Auto-ads vs manual units,"Only manual <ins> units are implemented via AdSlot/AdBanner. AdSense Auto Ads is not configured in index.html (no enable_page_level_ads push or auto_ads_only attribute). Consider enabling Auto Ads as a fallback to cover the 30 unmonetized tool pages and 16 blog pages while manual slots are being added.",index.html — no Auto Ads config found,WARN
