ID,Category,Subcategory,Page_Type,URL_or_File,Severity,Issue,Current_Value,Target_Value,Recommendation
T01,SEO,Title Tag,category,/text-format-tools,High,Title too long — will be truncated in SERPs,89 chars,≤60 chars,Shorten to: 'Free Text & Formatting Tools for X — Thread Formatter & More'
T02,SEO,Title Tag,category,/seo-tools,High,Title too long — will be truncated in SERPs,86 chars,≤60 chars,"Shorten to: 'Free SEO Tools — Meta Tags, Keyword Density & URL Slug'"
T03,SEO,Title Tag,tool,/tools/schema-generator,High,Title too long — will be truncated in SERPs,87 chars,≤60 chars,Shorten to: 'JSON-LD Schema Generator — Free Structured Data Builder'
T04,SEO,Title Tag,category,/email-tools,High,Title too long — will be truncated in SERPs,83 chars,≤60 chars,Shorten to: 'Free Email Tools — Subject Line Generator & Signature Builder'
T05,SEO,Title Tag,tool,/tools/x-account-checker,High,Title too long — will be truncated in SERPs,85 chars,≤60 chars,Shorten to: 'X Account Checker — Bulk Twitter Status & Profile Data'
T06,SEO,Title Tag,tool,/tools/funny-bios,High,Title too long — will be truncated in SERPs,81 chars,≤60 chars,Shorten to: 'Funny Twitter/X Bio Ideas (2026) — 50+ Bios + AI Generator'
T07,SEO,Title Tag,blog,/blog/seo-meta-tags-guide,High,Title too long — will be truncated in SERPs,79 chars,≤60 chars,"Shorten to: 'SEO Meta Tags Guide 2026 — Title, Description & OG Tags'"
T08,SEO,Title Tag,blog,/blog/what-is-regex,High,Title too long — will be truncated in SERPs,78 chars,≤60 chars,Shorten to: 'What Is Regex? Complete Beginner's Guide with Examples (2026)'
T09,SEO,Title Tag,category,/social-media-tools,Medium,Title too long — may be truncated on mobile,76 chars,≤60 chars,Shorten to: 'Free Social Media Tools for X (Twitter) — Account Checker'
T10,SEO,Title Tag,tool,/tools/regex-tester,Medium,Title too long — may be truncated on mobile,76 chars,≤60 chars,Shorten to: 'Regex Tester Online — Test Regular Expressions Instantly'
T11,SEO,Title Tag,tool,/tools/sitemap-validator,Medium,Title too long — may be truncated on mobile,74 chars,≤60 chars,Shorten to: 'XML Sitemap Validator — Free Sitemap Checker & Debugger'
T12,SEO,Title Tag,tool,/tools/spam-score-checker,Medium,Title too long — may be truncated on mobile,73 chars,≤60 chars,Shorten to: 'Email Spam Score Checker — Check Subject Line for Spam Triggers'
T13,SEO,Title Tag,category,/developer-tools,Medium,Title borderline long,72 chars,≤60 chars,Shorten to: 'Free Developer Tools — JSON Formatter & Base64 Encoder'
T14,SEO,Title Tag,tool,/tools/character-counter,Medium,Title borderline long,71 chars,≤60 chars,Shorten to: 'Character Counter — Free Online Character & Word Count'
D01,SEO,Meta Description,tool,/tools/uuid-generator,High,Description too short — low CTR signal,101 chars,150–160 chars,"Expand: add use-cases e.g. 'Generate UUID v4 identifiers for databases, APIs and session tokens.'"
D02,SEO,Meta Description,tool,/tools/ai-detector,High,Description too short — low CTR signal,115 chars,150–160 chars,"Expand: mention AI models detected, humanizer output, and free Groq API requirement"
D03,SEO,Meta Description,tool,/tools/temp-gmail,High,Description too short — low CTR signal,115 chars,150–160 chars,"Expand to cover all 3 tabs: disposable, temp Gmail, and Gmail dot/plus tricks"
D04,SEO,Meta Description,tool,/tools/html-formatter,High,Description too short — low CTR signal,118 chars,150–160 chars,"Expand: mention beautify, minify, indentation and privacy (no data sent to server)"
D05,SEO,Meta Description,tool,/tools/masked-email-generator,High,Description too short — low CTR signal,120 chars,150–160 chars,Expand: mention alias forwarding concept and spam/data-broker protection use-case
D06,SEO,Meta Description,tool,/tools/qr-code-generator,Medium,Description too short — below optimal,134 chars,150–160 chars,"Add: 'Supports URLs, WiFi, email, phone and custom text. Download as PNG instantly.'"
D07,SEO,Meta Description,tool,/tools/base64,Medium,Description too long — Google will truncate,180 chars,150–160 chars,Trim to: 'Encode and decode Base64 online for free. Supports full Unicode. 100% client-side — your data never leaves your browser.'
D08,SEO,Meta Description,blog,/blog/what-is-regex,Medium,Description too long — Google will truncate,186 chars,150–160 chars,Trim to ~155 chars by cutting 'with 10 practical examples' and condensing syntax list
D09,SEO,Meta Description,blog,/blog/seo-meta-tags-guide,Medium,Description too long — Google will truncate,185 chars,150–160 chars,Trim: remove 'structured data' from the end to bring under 160 chars
D10,SEO,Meta Description,tool,/tools/spam-score-checker,Medium,Description too long — Google will truncate,174 chars,150–160 chars,Trim last clause: 'Get an instant spam score and fix recommendations' is redundant
